customerid,gender,age,under30,seniorcitizen,married,dependents,numberofdependents,country,state,city,zipcode,latitude,longitude,population,quarter,referredafriend,numberofreferrals,offer,phoneservice,avgmonthlylongdistancecharges,multiplelines,internetservice,internettype,avgmonthlygbdownload,onlinesecurity,onlinebackup,deviceprotectionplan,premiumtechsupport,streamingtv,streamingmovies,streamingmusic,unlimiteddata,contract,paperlessbilling,paymentmethod,monthlycharge,satisfactionscore,customerstatus,churnlabel,churnscore,cltv,churncategory,churnreason,ingestiondate,customer_joined_date
5144-TVGLP,Male,68,No,Yes,No,No,0,United States,California,Los Angeles,90002,33.949255,-118.246978,44586,Q3,No,0,,Yes,46.96,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,94.75,3,Stayed,No,71,3654,,,2025-03-13,2022-01-13 00:00:00
9659-ZTWSM,Male,71,No,Yes,Yes,No,0,United States,California,Los Angeles,90013,34.044639,-118.240413,9732,Q3,Yes,7,,Yes,7.86,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,107.35,4,Stayed,No,53,4138,,,2025-03-13,2019-09-13 00:00:00
2195-VVRJF,Male,74,No,Yes,Yes,No,0,United States,California,Los Angeles,90018,34.028735,-118.317236,47143,Q3,Yes,6,,Yes,5.73,No,Yes,DSL,13,Yes,No,No,No,No,Yes,No,Yes,Two Year,Yes,Credit Card,59.1,3,Stayed,No,30,2422,,,2025-03-13,2023-09-13 00:00:00
1125-SNVCK,Female,78,No,Yes,No,No,0,United States,California,Los Angeles,90040,33.994524,-118.149953,9805,Q3,No,0,,Yes,35.65,No,Yes,DSL,3,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,43.8,5,Stayed,No,68,5651,,,2025-03-13,2021-02-13 00:00:00
2545-EBUPK,Female,70,No,Yes,No,No,0,United States,California,Los Angeles,90045,33.954017,-118.402447,39334,Q3,No,0,Offer E,Yes,21.9,Yes,Yes,Fiber Optic,22,No,No,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,84.05,3,Joined,No,72,5039,,,2025-03-13,2025-01-13 00:00:00
2172-EJXVF,Female,65,No,Yes,No,No,0,United States,California,Los Angeles,90047,33.958149,-118.308441,47107,Q3,No,0,,Yes,25.61,Yes,Yes,Fiber Optic,23,No,Yes,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,105.9,3,Stayed,No,60,5479,,,2025-03-13,2019-04-13 00:00:00
8659-HDIYE,Female,68,No,Yes,No,No,0,United States,California,Los Angeles,90067,34.057496,-118.413959,2527,Q3,No,0,,Yes,27.7,Yes,Yes,DSL,21,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,No,Credit Card,74.65,4,Stayed,No,58,5113,,,2025-03-13,2019-11-13 00:00:00
4680-KUTAJ,Female,73,No,Yes,No,No,0,United States,California,Beverly Hills,90212,34.062095,-118.401508,11355,Q3,No,0,,Yes,2.81,Yes,Yes,DSL,3,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,55.6,4,Stayed,No,80,5014,,,2025-03-13,2024-04-13 00:00:00
2883-ILGWO,Male,68,No,Yes,No,No,0,United States,California,Compton,90222,33.912246,-118.236773,29825,Q3,No,0,,Yes,32.12,Yes,Yes,Fiber Optic,15,No,Yes,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,104.9,5,Stayed,No,75,5838,,,2025-03-13,2020-06-13 00:00:00
1167-OYZJF,Female,65,No,Yes,Yes,No,0,United States,California,Santa Monica,90402,34.035849,-118.503508,11509,Q3,Yes,7,,Yes,49.94,No,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,20.05,5,Stayed,No,76,4934,,,2025-03-13,2019-08-13 00:00:00
4806-DXQCE,Female,77,No,Yes,Yes,No,0,United States,California,Santa Monica,90404,34.026334,-118.474222,19975,Q3,Yes,7,,Yes,35.39,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,113.65,4,Stayed,No,46,6146,,,2025-03-13,2019-05-13 00:00:00
5996-NRVXR,Male,68,No,Yes,Yes,No,0,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Q3,Yes,2,,Yes,15.15,No,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,98.15,3,Stayed,No,53,4332,,,2025-03-13,2021-11-13 00:00:00
0100-DUVFC,Male,66,No,Yes,Yes,No,0,United States,California,Wilmington,90744,33.782068,-118.262263,53323,Q3,Yes,3,,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,5,Stayed,No,57,5291,,,2025-03-13,2019-05-13 00:00:00
5397-TUPSH,Male,76,No,Yes,Yes,No,0,United States,California,Carson,90745,33.822295,-118.26411,55486,Q3,Yes,6,,Yes,28.68,No,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,70.95,3,Stayed,No,30,4871,,,2025-03-13,2019-10-13 00:00:00
6773-LQTVT,Female,67,No,Yes,Yes,Yes,1,United States,California,Long Beach,90803,33.760458,-118.129725,31352,Q3,Yes,8,,No,0.0,No,Yes,DSL,20,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Credit Card,35.65,5,Stayed,No,46,4107,,,2025-03-13,2022-10-13 00:00:00
9402-ORRAH,Female,80,No,Yes,No,No,0,United States,California,La Canada Flintridge,91011,34.234912,-118.153729,20200,Q3,No,0,,Yes,39.57,No,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.5,3,Stayed,No,41,4173,,,2025-03-13,2023-12-13 00:00:00
4840-ORQXB,Female,67,No,Yes,No,No,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Q3,No,0,,Yes,27.64,Yes,Yes,Fiber Optic,7,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,104.75,3,Stayed,No,35,5128,,,2025-03-13,2020-07-13 00:00:00
3982-DQLUS,Male,78,No,Yes,Yes,Yes,1,United States,California,Sunland,91040,34.282704,-118.312929,18752,Q3,Yes,10,,Yes,9.68,Yes,Yes,Fiber Optic,23,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,85.75,3,Stayed,No,21,4978,,,2025-03-13,2019-10-13 00:00:00
3756-VNWDH,Male,66,No,Yes,Yes,No,0,United States,California,Pasadena,91101,34.146635,-118.139225,16812,Q3,Yes,6,,Yes,32.08,Yes,Yes,Fiber Optic,8,Yes,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.75,3,Stayed,No,66,4368,,,2025-03-13,2019-10-13 00:00:00
2921-XWDJH,Female,76,No,Yes,Yes,No,0,United States,California,Glendale,91202,34.167926,-118.267539,21990,Q3,No,0,,Yes,3.42,No,Yes,Fiber Optic,15,Yes,No,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,83.45,3,Stayed,No,49,2768,,,2025-03-13,2022-01-13 00:00:00
9799-CAYJJ,Female,79,No,Yes,Yes,No,0,United States,California,West Hills,91307,34.199787,-118.68493,23637,Q3,Yes,1,Offer E,Yes,32.62,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.3,4,Joined,No,58,2901,,,2025-03-13,2025-01-13 00:00:00
6814-ZPWFQ,Male,67,No,Yes,No,No,0,United States,California,Santa Clarita,91350,34.502432,-118.41459,40077,Q3,No,0,,Yes,3.11,Yes,No,,0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.0,4,Stayed,No,49,5896,,,2025-03-13,2020-12-13 00:00:00
5019-GQVCR,Male,74,No,Yes,No,No,0,United States,California,Westlake Village,91361,34.130992,-118.894673,18735,Q3,No,0,,Yes,8.81,Yes,Yes,Fiber Optic,7,No,No,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,84.85,4,Stayed,No,56,4556,,,2025-03-13,2021-08-13 00:00:00
2880-FPNAE,Male,69,No,Yes,Yes,No,0,United States,California,Van Nuys,91405,34.202494,-118.448048,51348,Q3,Yes,1,Offer E,Yes,7.29,No,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.2,4,Joined,No,32,3170,,,2025-03-13,2025-01-13 00:00:00
1568-BEKZM,Male,65,No,Yes,Yes,No,0,United States,California,Baldwin Park,91706,34.098275,-117.967399,76890,Q3,Yes,7,,Yes,12.07,Yes,Yes,DSL,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,90.05,3,Stayed,No,47,4666,,,2025-03-13,2019-05-13 00:00:00
2045-BMBTJ,Female,80,No,Yes,No,No,0,United States,California,South El Monte,91733,34.04622,-118.053753,45645,Q3,No,0,,No,0.0,No,Yes,DSL,16,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,59.45,4,Stayed,No,30,3116,,,2025-03-13,2022-06-13 00:00:00
6741-EGCBI,Male,69,No,Yes,No,No,0,United States,California,Hacienda Heights,91745,33.998471,-117.973758,53686,Q3,No,0,,Yes,4.04,Yes,Yes,Fiber Optic,14,Yes,No,No,No,No,Yes,No,Yes,Two Year,Yes,Credit Card,90.5,3,Stayed,No,53,5983,,,2025-03-13,2022-09-13 00:00:00
1730-ZMAME,Female,74,No,Yes,No,No,0,United States,California,Ontario,91762,34.057256,-117.667677,54254,Q3,No,0,,Yes,48.62,No,Yes,Fiber Optic,12,No,No,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,79.5,4,Stayed,No,24,3041,,,2025-03-13,2022-07-13 00:00:00
5913-INRQV,Male,71,No,Yes,Yes,No,0,United States,California,Upland,91786,34.105493,-117.660934,48827,Q3,Yes,7,,Yes,26.49,No,Yes,Fiber Optic,18,Yes,No,No,Yes,Yes,No,No,Yes,One Year,No,Credit Card,90.15,3,Stayed,No,38,3202,,,2025-03-13,2022-05-13 00:00:00
6185-TASNN,Male,71,No,Yes,No,No,0,United States,California,Chula Vista,91913,32.64164,-116.985026,12884,Q3,No,0,Offer E,Yes,11.51,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,46.3,4,Joined,No,65,2546,,,2025-03-13,2025-02-13 00:00:00
1925-LFCZZ,Male,71,No,Yes,No,No,0,United States,California,Potrero,91963,32.619465,-116.593605,905,Q3,No,0,,No,0.0,No,Yes,DSL,23,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,50.05,4,Stayed,No,70,4932,,,2025-03-13,2020-08-13 00:00:00
8707-RMEZH,Female,67,No,Yes,Yes,No,0,United States,California,Tecate,91980,32.587557,-116.636816,91,Q3,Yes,6,,Yes,34.55,No,Yes,Fiber Optic,19,Yes,Yes,No,No,No,Yes,No,Yes,One Year,No,Credit Card,87.3,3,Stayed,No,69,4148,,,2025-03-13,2019-06-13 00:00:00
9373-WSLOY,Male,80,No,Yes,Yes,No,0,United States,California,Carlsbad,92008,33.148116,-117.306043,35582,Q3,Yes,1,,No,0.0,No,Yes,DSL,4,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,50.0,3,Stayed,No,65,5600,,,2025-03-13,2022-06-13 00:00:00
9819-FBNSV,Male,75,No,Yes,Yes,No,0,United States,California,El Cajon,92019,32.785165,-116.862648,40995,Q3,Yes,8,,Yes,23.54,No,Yes,Fiber Optic,7,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,72.25,3,Stayed,No,20,4121,,,2025-03-13,2022-02-13 00:00:00
9544-PYPSJ,Female,67,No,Yes,Yes,Yes,2,United States,California,El Cajon,92020,32.79697,-116.969082,55277,Q3,Yes,1,,Yes,45.76,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Two Year,Yes,Credit Card,96.1,4,Stayed,No,37,5868,,,2025-03-13,2020-01-13 00:00:00
3878-AVSOQ,Female,68,No,Yes,No,No,0,United States,California,La Jolla,92037,32.853743,-117.25034,42617,Q3,No,0,,Yes,17.6,No,Yes,Fiber Optic,2,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,71.25,4,Joined,No,49,5033,,,2025-03-13,2025-02-13 00:00:00
3258-SYSWS,Male,75,No,Yes,No,No,0,United States,California,Lakeside,92040,32.909873,-116.906774,42277,Q3,No,0,,Yes,24.67,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,113.8,3,Stayed,No,56,4598,,,2025-03-13,2019-03-13 00:00:00
0512-FLFDW,Female,74,No,Yes,Yes,No,0,United States,California,Palomar Mountain,92060,33.309852,-116.823091,234,Q3,Yes,3,,Yes,27.68,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Credit Card,100.5,5,Stayed,No,34,6442,,,2025-03-13,2020-03-13 00:00:00
2107-FBPTK,Female,80,No,Yes,No,No,0,United States,California,Ramona,92065,33.044541,-116.833922,33104,Q3,No,0,,Yes,41.93,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.1,4,Stayed,No,59,5655,,,2025-03-13,2022-09-13 00:00:00
1016-DJTSV,Male,66,No,Yes,No,No,0,United States,California,Santee,92071,32.847336,-116.997605,53510,Q3,No,0,Offer E,Yes,41.85,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,69.7,4,Stayed,No,20,5242,,,2025-03-13,2024-07-13 00:00:00
5699-BNCAS,Male,79,No,Yes,No,No,0,United States,California,Valley Center,92082,33.25283,-116.986079,14575,Q3,No,0,Offer A,Yes,4.75,Yes,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,3,Stayed,No,73,4788,,,2025-03-13,2019-04-13 00:00:00
2900-PHPLN,Female,73,No,Yes,Yes,No,0,United States,California,Vista,92083,33.17494,-117.242761,62036,Q3,Yes,2,Offer A,Yes,15.9,No,No,,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.55,3,Stayed,No,22,5209,,,2025-03-13,2019-05-13 00:00:00
4039-PIMHX,Male,74,No,Yes,Yes,No,0,United States,California,San Diego,92102,32.716007,-117.117462,47140,Q3,Yes,4,,Yes,1.67,No,Yes,DSL,15,No,Yes,No,No,No,No,No,Yes,Two Year,No,Credit Card,49.8,3,Stayed,No,37,4306,,,2025-03-13,2021-02-13 00:00:00
7826-VVKWT,Female,69,No,Yes,Yes,Yes,1,United States,California,San Diego,92114,32.707892,-117.05512,66838,Q3,Yes,9,,Yes,20.78,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,96.55,5,Stayed,No,73,4309,,,2025-03-13,2023-03-13 00:00:00
5288-AHOUP,Male,71,No,Yes,No,No,0,United States,California,Palm Desert,92260,33.694501,-116.412711,29340,Q3,No,0,,Yes,41.58,No,Yes,Fiber Optic,3,No,No,No,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,78.5,3,Stayed,No,51,4333,,,2025-03-13,2024-04-13 00:00:00
7134-HBPBS,Female,65,No,Yes,No,No,0,United States,California,Adelanto,92301,34.667815,-117.536183,18980,Q3,No,0,Offer A,Yes,26.87,Yes,Yes,Fiber Optic,20,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.1,5,Stayed,No,71,4474,,,2025-03-13,2019-03-13 00:00:00
4415-WNGVR,Female,73,No,Yes,Yes,No,0,United States,California,Daggett,92327,34.875144,-116.821698,678,Q3,Yes,3,,Yes,37.15,No,Yes,DSL,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,79.2,4,Stayed,No,42,3355,,,2025-03-13,2024-03-13 00:00:00
1309-XGFSN,Male,72,No,Yes,Yes,Yes,1,United States,California,Pinon Hills,92372,34.459322,-117.629729,4280,Q3,Yes,1,,Yes,7.04,Yes,Yes,DSL,22,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,80.85,3,Stayed,No,76,6090,,,2025-03-13,2020-11-13 00:00:00
0650-BWOZN,Female,71,No,Yes,No,No,0,United States,California,Aguanga,92536,33.482243,-116.827173,2433,Q3,No,0,,Yes,7.51,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,73.55,3,Stayed,No,66,5313,,,2025-03-13,2023-09-13 00:00:00
4304-XUMGI,Male,74,No,Yes,Yes,Yes,2,United States,California,Moreno Valley,92557,33.970661,-117.255039,46214,Q3,Yes,3,,Yes,32.9,Yes,Yes,DSL,18,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,75.15,4,Stayed,No,34,6084,,,2025-03-13,2021-01-13 00:00:00
9481-IEBZY,Male,69,No,Yes,Yes,No,0,United States,California,Nuevo,92567,33.82769,-117.102244,7344,Q3,Yes,6,Offer A,Yes,30.3,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,112.9,3,Stayed,No,29,5569,,,2025-03-13,2019-03-13 00:00:00
1080-BWSYE,Male,76,No,Yes,Yes,No,0,United States,California,Irvine,92618,33.667145,-117.732135,6301,Q3,No,0,,Yes,29.43,Yes,No,,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.65,5,Stayed,No,36,6469,,,2025-03-13,2019-11-13 00:00:00
3786-WOVKF,Female,69,No,Yes,Yes,No,0,United States,California,Anaheim,92807,33.848733,-117.788357,36301,Q3,Yes,8,Offer A,Yes,7.85,Yes,Yes,Fiber Optic,20,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.85,4,Stayed,No,58,4768,,,2025-03-13,2019-03-13 00:00:00
5816-SCGFC,Female,73,No,Yes,No,No,0,United States,California,Fullerton,92835,33.902211,-117.914922,21157,Q3,No,0,,Yes,11.01,No,Yes,Cable,18,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,51.3,4,Stayed,No,46,3660,,,2025-03-13,2024-08-13 00:00:00
9278-VZKCD,Female,67,No,Yes,Yes,No,0,United States,California,Norco,92860,33.925833,-117.559639,22443,Q3,Yes,1,,Yes,4.11,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.1,5,Stayed,No,49,4428,,,2025-03-13,2020-11-13 00:00:00
8261-GWDBQ,Female,70,No,Yes,Yes,No,0,United States,California,Corona,92880,33.918043,-117.617809,16998,Q3,Yes,1,,Yes,4.06,Yes,Yes,Fiber Optic,11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,116.05,3,Stayed,No,77,4734,,,2025-03-13,2020-03-13 00:00:00
6173-GOLSU,Male,79,No,Yes,Yes,No,0,United States,California,Oak View,93022,34.404544,-119.302118,6503,Q3,Yes,4,Offer A,Yes,7.2,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,94.65,4,Stayed,No,47,4228,,,2025-03-13,2019-08-13 00:00:00
8720-RQSBJ,Male,69,No,Yes,No,No,0,United States,California,Armona,93202,36.315979,-119.710852,2872,Q3,No,0,Offer E,Yes,28.67,No,Yes,DSL,4,No,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,44.0,4,Joined,No,46,4320,,,2025-03-13,2025-02-13 00:00:00
7225-CBZPL,Male,79,No,Yes,Yes,No,0,United States,California,Earlimart,93219,35.858054,-119.305858,9318,Q3,Yes,7,,Yes,46.44,Yes,Yes,Fiber Optic,13,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.8,3,Stayed,No,49,4831,,,2025-03-13,2023-10-13 00:00:00
3692-JHONH,Female,70,No,Yes,Yes,No,0,United States,California,Kettleman City,93239,35.996923,-120.000951,1809,Q3,Yes,9,,Yes,27.74,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,106.5,5,Stayed,No,57,4499,,,2025-03-13,2020-11-13 00:00:00
1200-TUZHR,Female,70,No,Yes,No,No,0,United States,California,Posey,93260,35.861928,-118.636698,266,Q3,No,0,Offer E,Yes,44.63,Yes,Yes,Fiber Optic,29,No,No,No,No,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,85.2,4,Stayed,No,53,2565,,,2025-03-13,2024-07-13 00:00:00
7130-CTCUS,Male,79,No,Yes,Yes,No,0,United States,California,Springville,93265,36.245926,-118.693138,3546,Q3,Yes,5,,Yes,35.53,No,Yes,DSL,23,Yes,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,54.55,3,Stayed,No,34,3324,,,2025-03-13,2023-11-13 00:00:00
0420-HLGXF,Female,72,No,Yes,No,No,0,United States,California,Visalia,93291,36.391777,-119.372842,36718,Q3,No,0,,Yes,10.03,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,99.75,3,Stayed,No,58,3860,,,2025-03-13,2021-12-13 00:00:00
3657-COGMW,Female,76,No,Yes,No,No,0,United States,California,San Luis Obispo,93405,35.236549,-120.727344,31982,Q3,No,0,,Yes,11.01,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,No,Credit Card,108.1,4,Stayed,No,69,4251,,,2025-03-13,2020-11-13 00:00:00
4334-HOWRP,Male,70,No,Yes,Yes,No,0,United States,California,Cambria,93428,35.591387,-121.032256,6526,Q3,Yes,1,Offer A,No,0.0,No,Yes,DSL,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,64.95,3,Stayed,No,78,4049,,,2025-03-13,2019-03-13 00:00:00
4098-NAUKP,Male,70,No,Yes,Yes,Yes,1,United States,California,Oceano,93445,35.059695,-120.604741,7435,Q3,Yes,1,Offer A,Yes,20.31,Yes,Yes,Fiber Optic,13,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,84.65,3,Stayed,No,72,6404,,,2025-03-13,2019-07-13 00:00:00
3308-JSGML,Male,77,No,Yes,Yes,No,0,United States,California,Shandon,93461,35.634488,-120.293534,1255,Q3,Yes,3,,No,0.0,No,Yes,Cable,6,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,64.05,3,Stayed,No,49,6306,,,2025-03-13,2020-04-13 00:00:00
6199-IWKGC,Female,71,No,Yes,Yes,No,0,United States,California,Benton,93512,37.653947,-118.231443,340,Q3,Yes,5,,Yes,21.46,Yes,Yes,Fiber Optic,15,No,No,No,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,100.25,5,Stayed,No,59,5453,,,2025-03-13,2021-05-13 00:00:00
2675-DHUTR,Male,80,No,Yes,Yes,No,0,United States,California,Big Pine,93513,37.245505,-118.062943,1826,Q3,Yes,8,,Yes,31.11,Yes,Yes,Fiber Optic,4,No,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,98.9,3,Stayed,No,21,4993,,,2025-03-13,2020-05-13 00:00:00
7446-YPODE,Male,75,No,Yes,No,No,0,United States,California,Bridgeport,93517,38.184583,-119.286558,826,Q3,No,0,,Yes,48.33,Yes,Yes,DSL,17,Yes,Yes,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,60.25,3,Stayed,No,23,5296,,,2025-03-13,2024-04-13 00:00:00
9522-BNTHX,Female,72,No,Yes,No,No,0,United States,California,Caliente,93518,35.358953,-118.527064,1022,Q3,No,0,,No,0.0,No,Yes,DSL,28,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,56.25,3,Stayed,No,32,5597,,,2025-03-13,2022-05-13 00:00:00
0531-ZZJWQ,Male,68,No,Yes,Yes,No,0,United States,California,Fallbrook,92028,33.362575,-117.299644,42239,Q3,Yes,6,,Yes,42.9,Yes,Yes,Fiber Optic,27,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.0,5,Stayed,No,54,4958,,,2025-03-13,2020-08-13 00:00:00
2688-BHGOG,Male,73,No,Yes,No,No,0,United States,California,Olancha,93549,36.296851,-117.865469,318,Q3,No,0,Offer E,Yes,24.85,No,Yes,Fiber Optic,15,No,No,No,No,No,Yes,No,No,Two Year,Yes,Bank Withdrawal,79.55,5,Stayed,No,76,5811,,,2025-03-13,2024-06-13 00:00:00
0916-QOFDP,Female,79,No,Yes,Yes,Yes,1,United States,California,Randsburg,93554,35.405722,-117.773354,117,Q3,Yes,5,,Yes,14.39,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,95.8,3,Stayed,No,29,3471,,,2025-03-13,2024-01-13 00:00:00
8910-LEDAG,Male,72,No,Yes,Yes,No,0,United States,California,Prather,93651,37.007238,-119.505661,1314,Q3,Yes,2,,Yes,12.98,No,Yes,Fiber Optic,8,No,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,71.55,3,Stayed,No,72,3583,,,2025-03-13,2022-05-13 00:00:00
3452-GWUIN,Female,78,No,Yes,Yes,No,0,United States,California,Raisin City,93652,36.594542,-119.905245,265,Q3,Yes,10,,Yes,19.57,Yes,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,94.95,5,Stayed,No,40,5316,,,2025-03-13,2023-08-13 00:00:00
7278-CKDNC,Male,76,No,Yes,No,No,0,United States,California,Fresno,93701,36.749403,-119.787574,13858,Q3,No,0,,Yes,46.13,Yes,Yes,Fiber Optic,23,No,Yes,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,80.5,4,Stayed,No,40,4422,,,2025-03-13,2023-03-13 00:00:00
8450-UYIBU,Female,77,No,Yes,No,No,0,United States,California,Fresno,93703,36.768774,-119.762633,31180,Q3,No,0,,No,0.0,No,Yes,Cable,26,No,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,39.85,4,Stayed,No,60,2030,,,2025-03-13,2022-04-13 00:00:00
0187-QSXOE,Male,71,No,Yes,Yes,No,0,United States,California,Fresno,93725,36.623632,-119.741322,21010,Q3,Yes,8,,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,4,Stayed,No,36,5711,,,2025-03-13,2024-08-13 00:00:00
7733-UDMTP,Female,65,No,Yes,No,No,0,United States,California,Fresno,93726,36.793601,-119.761131,39148,Q3,No,0,Offer B,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,55.0,4,Stayed,No,76,4622,,,2025-03-13,2020-06-13 00:00:00
6904-JLBGY,Female,78,No,Yes,No,No,0,United States,California,Salinas,93905,36.667794,-121.601306,58548,Q3,No,0,Offer A,Yes,14.94,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117.35,4,Stayed,No,71,4008,,,2025-03-13,2019-03-13 00:00:00
